,Title,Website,Github,Gitlab,Hugging Face,Package,Slack
0,Eticas Bias,https://eticas.ai/itaca/,https://github.com/eticasai/eticas-audit,,,,
1,Mindgard,https://mindgard.ai/,https://github.com/Mindgard/cli,,,https://pypi.org/project/mindgard/,
2,PyRIT,https://github.com/Azure/PyRIT,https://github.com/Azure/PyRIT,,,https://pypi.org/project/pyrit/,
3,garak,https://garak.ai/,https://github.com/leondz/garak,https://garak.ai/,,https://pypi.org/project/garak/,
4,zamba,,https://github.com/drivendataorg/zamba,,,,
5,yopo-you-only-propagate-once,,https://github.com/a1600012888/YOPO-You-Only-Propagate-Once,,,,
6,yolov3-tf2,,https://github.com/zzh8829/yolov3-tf2,,,,
7,xlearn,,https://github.com/aksnzhy/xlearn,,,,
8,wildbook,,https://github.com/WildMeOrg/Wildbook,,,,
9,whisper-jax,,https://github.com/sanchit-gandhi/whisper-jax,,,,
10,vit-explain,,https://github.com/jacobgil/vit-explain,,,,
11,vespa,,https://github.com/vespa-engine/vespa,,,,
12,ultralytics,,https://github.com/ultralytics/ultralytics,,,,
13,turicreate,,https://github.com/apple/turicreate,,,,
14,trustworthyai,,https://github.com/huawei-noah/trustworthyAI,,,,
15,transformer-deploy,,https://github.com/ELS-RD/transformer-deploy,,,,
16,traingenerator,,https://github.com/jrieke/traingenerator,,,,
17,tflearn,,https://github.com/tflearn/tflearn,,,,
18,tf-explain,,https://github.com/sicara/tf-explain,,,,
19,tensorwatch,,https://github.com/microsoft/tensorwatch,,,,
20,tensorrt,,https://github.com/NVIDIA/TensorRT,,,,
21,TrojAI Detect & Defend,https://www.troj.ai/,,,,,
22,tensorflow-course,,https://github.com/instillai/TensorFlow-Course,,,,
23,stock-analysis-engine,,https://github.com/AlgoTraders/stock-analysis-engine,,,,
24,steal-ml,,https://github.com/ftramer/Steal-ML,,,,
25,stanza,,https://github.com/stanfordnlp/stanza,,,,
26,stanford-tensorflow-tutorials,,https://github.com/chiphuyen/stanford-tensorflow-tutorials,,,,
27,speech-transformer,,https://github.com/kaituoxu/Speech-Transformer,,,,
28,smartbin,,https://github.com/tlkh/SmartBin,,,,
29,shapley,,https://github.com/benedekrozemberczki/shapley,,,,
30,seq2seq-signal-prediction,,https://github.com/guillaume-chevalier/seq2seq-signal-prediction,,,,
31,scikit-learn-videos,,https://github.com/justmarkham/scikit-learn-videos,,,,
32,rsmove,,https://github.com/RRemelgado/rsMove,,,,
33,PyImageSearch CV/DL CrashCourse,,https://github.com/dloperab/PyImageSearch-CV-DL-CrashCourse,,,,
34,robuststl,,https://github.com/LeeDoYup/RobustSTL,,,,
35,reinforcement-learning-with-tensorflow,,https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow,,,,
36,GHOST: Generative High-fidelity One Shot Transfer,,https://github.com/ai-forever/ghost,,,,
37,EfficientFormerV2,,https://github.com/snap-research/EfficientFormer,,,,
38,Deep Reinforcement Learning Agents,,https://github.com/awjuliani/DeepRL-Agents,,,,
39,Mathematical foundation of Reinforcement Learning,,https://github.com/MathFoundationRL/Book-Mathmatical-Foundation-of-Reinforcement-Learning,,,,
40,recycle,,https://github.com/jenkspt/recycle,,,,
41,qdrant,,https://github.com/qdrant/qdrant,,,,
42,pytorchzerotoall,,https://github.com/hunkim/PyTorchZeroToAll,,,,
43,AutoViz: The One-Line Automatic Data Visualization Library,,https://github.com/AutoViML/AutoViz,,,,
44,Unsupervised Learning for anomaly detection in options pricing,,https://github.com/borisbanushev/anomaliesinoptions,,,,
45,pytorchnlpbook,,https://github.com/delip/PyTorchNLPBook,,,,
46,robuststl,,https://github.com/LeeDoYup/RobustSTL,,,,
