,Title,Website,Main reference,Github stars,Github forks,Citations,References,Gitlab,Hugging Face
0,Accuracy,https://en.wikipedia.org/wiki/Accuracy_and_precision,,0.0,0.0,0.0,,https://huggingface.co/papers/2302.04166,
1,Mahalanobis Distance,http://library.isical.ac.in:8080/xmlui/bitstream/handle/10263/6765/Vol02_1936_1_Art05-pcm.pdf,,0.0,0.0,0.0,,https://huggingface.co/papers/2302.04166,
2,Mean Intersection over Union (IoU),https://giou.stanford.edu/,,0.0,0.0,0.0,,https://huggingface.co/papers/2302.04166,
3,Time until Adversary’s Success,https://www.semanticscholar.org/paper/An-Analysis-of-the-Degradation-of-Anonymous-Wright-Adler/b20053ebb8ef3623abe6020251e84e36c6920181,,0.0,0.0,0.0,,https://huggingface.co/papers/2302.04166,
4,Receiver Operating Characteristic Curve (ROC) and Area Under the Curve (AUC),https://developers.google.com/machine-learning/crash-course/classification/roc-and-auc,,0.0,0.0,0.0,,,
5,Bilingual Evaluation Understudy (BLEU),https://dl.acm.org/doi/10.3115/1073083.1073135,,0.0,0.0,0.0,,,
6,Precision,https://en.wikipedia.org/wiki/Precision_and_recall,,0.0,0.0,0.0,,,
7,Recall,https://en.wikipedia.org/wiki/Precision_and_recall,,0.0,0.0,0.0,,,
8,Word Error Rate (WER),https://www.sciencedirect.com/science/article/abs/pii/S0167639301000413?via%3Dihub,,0.0,0.0,0.0,,,
9,Perplexity,https://towardsdatascience.com/perplexity-in-language-models-87a196019a94?gi=1b1578ee91a1,,0.0,0.0,0.0,,,
10,Exact Match,"https://huggingface.co/spaces/evaluate-metric/exact_match#:~:text=Metric%3A%20exact_match,JSON%2Dformatted%20list%20as%20input.",,0.0,0.0,0.0,,,
11,Adjusted Rand Index (ARI),https://econpapers.repec.org/article/sprjclass/v_3a2_3ay_3a1985_3ai_3a1_3ap_3a193-218.htm,,,,,,,
12,Mean Per Joint Position Error (MPJPE),https://courses.grainger.illinois.edu/ece445zjui/getfile.asp?id=19050,,,,,,,
13,F-score,https://en.wikipedia.org/wiki/F-score,,0.0,0.0,0.0,,,
14,SacreBLEU,https://github.com/mjpost/sacreBLEU,,0.0,0.0,0.0,,,
15,Out-of-distribution (OOD) generalization,https://arxiv.org/abs/2108.13624,,0.0,0.0,0.0,,,
16,Cross-lingual Natural Language Inference (XNLI),https://aclanthology.org/D18-1269.pdf,,0.0,0.0,0.0,,,
17,Metric for Evaluation of Translation with Explicit ORdering (METEOR),https://www.researchgate.net/publication/228346240_METEOR_An_automatic_metric_for_MT_evaluation_with_high_levels_of_correlation_with_human_judgments,,0.0,0.0,0.0,,,
18,Mean Squared Error (MSE),https://en.wikipedia.org/wiki/Mean_squared_error,,0.0,0.0,0.0,,,
19,Crosslingual Optimized Metric for Evaluation of Translation (COMET),"https://machinetranslate.org/comet#:~:text=COMET%20(Crosslingual%20Optimized%20Metric%20for,on%20similarity%20of%20vector%20representations.",,0.0,0.0,0.0,,,
20,Character error rate (CER),https://readcoop.eu/glossary/character-error-rate-cer/,,0.0,0.0,0.0,,,
21,Mean Average Precision (MAP),"https://www.v7labs.com/blog/mean-average-precision#:~:text=Mean%20Average%20Precision(mAP)%20is%20a%20metric%20used%20to%20evaluate,values%20from%200%20to%201.",,,,,,,
22,Stability,https://arxiv.org/abs/2108.13624,,0.0,0.0,0.0,,,
23,Spearman's rank correlation coefficient (SRCC),"https://en.wikipedia.org/wiki/Spearman%27s_rank_correlation_coefficient#:~:text=%2C%20is%20a%20nonparametric%20measure%20of,described%20using%20a%20monotonic%20function.",,0.0,0.0,0.0,,,
24,MAUVE,https://arxiv.org/abs/2102.01454,,0.0,0.0,0.0,,,
25,Matthews Correlation Coefficient,https://towardsdatascience.com/the-best-classification-metric-youve-never-heard-of-the-matthews-correlation-coefficient-3bf50a2f3e9a,,0.0,0.0,0.0,,,
26,Mean Absolute Error (MAE),https://en.wikipedia.org/wiki/Mean_absolute_error,,0.0,0.0,0.0,,,
27,Google BLEU (GLEU),https://www.nltk.org/api/nltk.translate.gleu_score.html,,0.0,0.0,0.0,,,
28,chrF,https://aclanthology.org/W15-3049.pdf,,0.0,0.0,0.0,,,
