,Title,Website,Github,Gitlab,Hugging Face,Package,Slack
0,Eticas Bias,https://eticas.ai/itaca/,https://github.com/eticasai/eticas-audit,,,,
1,yolov3-tf2,,https://github.com/zzh8829/yolov3-tf2,,,,
2,xlnet,,https://github.com/zihangdai/xlnet,,,,
3,wildbook,,https://github.com/WildMeOrg/Wildbook,,,,
4,whisper-jax,,https://github.com/sanchit-gandhi/whisper-jax,,,,
5,vespa,,https://github.com/vespa-engine/vespa,,,,
6,transformer-deploy,,https://github.com/ELS-RD/transformer-deploy,,,,
7,traingenerator,,https://github.com/jrieke/traingenerator,,,,
8,torch-cam,,https://github.com/frgfm/torch-cam,,,,
9,tflearn,,https://github.com/tflearn/tflearn,,,,
10,stanford-tensorflow-tutorials,,https://github.com/chiphuyen/stanford-tensorflow-tutorials,,,,
11,seq2seq-signal-prediction,,https://github.com/guillaume-chevalier/seq2seq-signal-prediction,,,,
12,scikit-learn-videos,,https://github.com/justmarkham/scikit-learn-videos,,,,
13,robuststl,,https://github.com/LeeDoYup/RobustSTL,,,,
14,reinforcement-learning-with-tensorflow,,https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow,,,,
15,GHOST: Generative High-fidelity One Shot Transfer,,https://github.com/ai-forever/ghost,,,,
16,Deep Reinforcement Learning Agents,,https://github.com/awjuliani/DeepRL-Agents,,,,
17,Mathematical foundation of Reinforcement Learning,,https://github.com/MathFoundationRL/Book-Mathmatical-Foundation-of-Reinforcement-Learning,,,,
18,recycle,,https://github.com/jenkspt/recycle,,,,
19,qdrant,,https://github.com/qdrant/qdrant,,,,
20,pytorchzerotoall,,https://github.com/hunkim/PyTorchZeroToAll,,,,
21,pytorchnlpbook,,https://github.com/delip/PyTorchNLPBook,,,,
22,pytorch3d,,https://github.com/facebookresearch/pytorch3d,,,,
23,pytorch-yolov3,,https://github.com/eriklindernoren/PyTorch-YOLOv3,,,,
24,pytorch-forecasting,,https://github.com/jdb78/pytorch-forecasting,,,,
25,pyrate,,https://github.com/dsilvestro/PyRate,,,,
26,pyaudioanalysis,,https://github.com/tyiannak/pyAudioAnalysis,,,,
27,pummeler,,https://github.com/djsutherland/pummeler,,,,
28,pandas-videos,,https://github.com/justmarkham/pandas-videos,,,,
29,Gluon CV Toolkit,,https://github.com/dmlc/gluon-cv,,,,
30,openface,,https://github.com/TadasBaltrusaitis/OpenFace,,,,
31,openbbterminal,,https://github.com/OpenBB-finance/OpenBBTerminal,,,,
32,Opacus,https://pages.nist.gov/dioptra/,https://github.com/pytorch/opacus,,,,
